,达人,粉丝数,销售额,销售量,商品数,观看人次,人次峰值,地区
369,美的空调电器旗舰店,18228,126461.0,39,45,6869,85,北京市
370,馥菲Fairy,8372,126342.0,58,176,5846,158,北京市
371,凯叔讲故事官方旗舰店,242943,126309.77,599,42,24229,157,北京市
372,Redmi红米直播间（每天8点开播）,98997,126132.49,88,86,29662,196,北京市
373,古恒堂书画院,33278,125222.82,148,69,46609,915,北京市
374,NDZ颜伊娃,232337,124659.77,1295,46,24876,338,北京市
375,瑜伽老师桃桃💕直播中,28899,123967.78,1222,4,25514,754,北京市
376,心情花园（从210到102),300928,123896.3,2238,87,229637,4137,北京市
377,学而思图书旗舰店,283302,123350.8,870,57,23841,88,北京市
378,心相印旗舰店,140597,122846.1,2715,23,114738,200,北京市
379,抖in新风潮,53536,121796.9,815,76,44934,202,北京市
380,菩提花开,111400,121353.32,960,173,87086,1304,北京市
381,演员洪冰瑶（每日19:14直播）,329051,121057.38,616,19,31727,801,北京市
382,Redmi红米直播间（每天8点开播）,98997,120140.0,60,93,19774,482,北京市
383,至家HOMMEY种草官,67942,120020.5,3229,71,83951,2324,北京市
384,翼眠品牌直营（直播间专享福利）,191803,119902.2,238,16,16906,35,北京市
385,窦昕@豆神天蝎星,1179477,119819.99,223,10,19477,438,北京市
386,润百颜官方旗舰店,316349,119736.0,415,24,22730,68,北京市
387,联合利华官方旗舰店,229320,119719.33,1077,13,49474,2690,北京市
388,中茶官方旗舰店,385667,119487.91,108,38,40599,141,北京市
389,美臀黄建,564572,119248.81,1247,33,108405,8136,北京市
390,团油加油券,160004,119090.4,628,10,23614,329,北京市
391,润百颜官方旗舰店,316349,119016.0,383,22,21339,79,北京市
392,迟锐,2036847,118954.6,152,75,26669,845,北京市
393,星辰出品,14638,117813.65,840,114,45757,895,北京市
394,小仙炖鲜炖燕窝,275165,117645.68,82,14,25158,69,北京市
395,陶然reset,1176983,117430.0,331,19,9843,584,北京市
